,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 84531,Estimate,41,26,22,10,4,31,7,6,0,13,7,12,6,0,0,0,185
ZCTA5 84531,Margin of Error,+/-30,+/-15,+/-15,+/-9,+/-8,+/-29,+/-9,+/-5,+/-11,+/-10,+/-9,+/-11,+/-9,+/-11,+/-11,+/-11,0
ZCTA5 84536,Estimate,116,32,59,27,25,14,18,5,0,20,24,25,17,7,9,0,398
ZCTA5 84536,Margin of Error,+/-31,+/-16,+/-22,+/-16,+/-14,+/-11,+/-12,+/-7,+/-11,+/-12,+/-14,+/-16,+/-13,+/-11,+/-10,+/-11,0
ZCTA5 85003,Estimate,569,358,344,165,135,210,138,113,80,229,218,386,462,167,182,177,3933
ZCTA5 85003,Margin of Error,+/-148,+/-115,+/-125,+/-80,+/-58,+/-109,+/-72,+/-45,+/-61,+/-97,+/-91,+/-138,+/-144,+/-61,+/-83,+/-55,0
ZCTA5 85004,Estimate,433,192,203,96,68,70,74,58,106,104,121,145,59,70,105,71,1975
ZCTA5 85004,Margin of Error,+/-129,+/-90,+/-80,+/-67,+/-58,+/-39,+/-49,+/-54,+/-73,+/-55,+/-54,+/-63,+/-39,+/-42,+/-61,+/-36,0
ZCTA5 85006,Estimate,1978,834,625,734,669,420,564,332,291,277,605,518,217,154,46,74,8338
ZCTA5 85006,Margin of Error,+/-243,+/-170,+/-147,+/-153,+/-200,+/-143,+/-173,+/-101,+/-123,+/-94,+/-166,+/-127,+/-77,+/-85,+/-31,+/-58,0
ZCTA5 85007,Estimate,1039,530,436,286,238,243,147,250,107,229,286,323,261,152,95,187,4809
ZCTA5 85007,Margin of Error,+/-201,+/-151,+/-141,+/-113,+/-92,+/-107,+/-70,+/-108,+/-46,+/-93,+/-107,+/-115,+/-100,+/-72,+/-48,+/-64,0
ZCTA5 85008,Estimate,2215,1273,1634,1889,1625,1577,1402,1346,976,1679,1760,1488,685,287,244,131,20211
ZCTA5 85008,Margin of Error,+/-312,+/-244,+/-274,+/-315,+/-256,+/-310,+/-246,+/-240,+/-194,+/-291,+/-237,+/-238,+/-213,+/-125,+/-96,+/-93,0
ZCTA5 85009,Estimate,2858,1422,965,1307,898,756,513,500,526,793,675,424,210,127,105,30,12109
ZCTA5 85009,Margin of Error,+/-316,+/-224,+/-191,+/-184,+/-172,+/-150,+/-121,+/-125,+/-126,+/-139,+/-131,+/-108,+/-84,+/-60,+/-49,+/-20,0
ZCTA5 85012,Estimate,344,144,169,125,147,174,141,177,81,189,227,382,234,151,133,278,3096
ZCTA5 85012,Margin of Error,+/-124,+/-59,+/-79,+/-58,+/-76,+/-95,+/-80,+/-112,+/-68,+/-79,+/-71,+/-106,+/-94,+/-65,+/-66,+/-76,0
ZCTA5 85013,Estimate,938,344,789,555,389,540,538,540,487,767,1032,940,625,380,362,510,9736
ZCTA5 85013,Margin of Error,+/-201,+/-118,+/-206,+/-192,+/-113,+/-173,+/-167,+/-180,+/-179,+/-162,+/-242,+/-210,+/-145,+/-114,+/-124,+/-111,0
ZCTA5 85014,Estimate,1290,943,584,670,826,572,499,869,418,963,1165,1070,619,390,348,322,11548
ZCTA5 85014,Margin of Error,+/-224,+/-236,+/-147,+/-171,+/-219,+/-138,+/-161,+/-233,+/-138,+/-222,+/-262,+/-201,+/-147,+/-151,+/-112,+/-119,0
ZCTA5 85015,Estimate,2343,1627,1160,1066,982,912,681,710,456,1180,933,1032,607,318,196,93,14296
