,total population
ZCTA5 84531,920
ZCTA5 84531,+/-215
ZCTA5 84531,920
ZCTA5 84531,(X)
ZCTA5 84536,1998
ZCTA5 84536,+/-215
ZCTA5 84536,1998
ZCTA5 84536,(X)
ZCTA5 85003,9262
ZCTA5 85003,+/-800
ZCTA5 85003,9262
ZCTA5 85003,(X)
ZCTA5 85004,4649
ZCTA5 85004,+/-581
ZCTA5 85004,4649
ZCTA5 85004,(X)
ZCTA5 85006,26473
ZCTA5 85006,"+/-1,645"
ZCTA5 85006,26473
ZCTA5 85006,(X)
ZCTA5 85007,14114
ZCTA5 85007,"+/-1,204"
ZCTA5 85007,14114
ZCTA5 85007,(X)
ZCTA5 85008,55820
ZCTA5 85008,"+/-1,947"
ZCTA5 85008,55820
ZCTA5 85008,(X)
ZCTA5 85009,47667
ZCTA5 85009,"+/-2,169"
ZCTA5 85009,47667
ZCTA5 85009,(X)
ZCTA5 85012,6446
ZCTA5 85012,+/-679
ZCTA5 85012,6446
ZCTA5 85012,(X)
ZCTA5 85013,20479
ZCTA5 85013,"+/-1,374"
ZCTA5 85013,20479
ZCTA5 85013,(X)
ZCTA5 85014,24979
ZCTA5 85014,"+/-1,256"
ZCTA5 85014,24979
ZCTA5 85014,(X)
ZCTA5 85015,39719
ZCTA5 85015,"+/-2,224"
ZCTA5 85015,39719
ZCTA5 85015,(X)
ZCTA5 85016,33432
ZCTA5 85016,"+/-1,274"
ZCTA5 85016,33432
ZCTA5 85016,(X)
ZCTA5 85017,40333
ZCTA5 85017,"+/-1,759"
ZCTA5 85017,40333
ZCTA5 85017,(X)
ZCTA5 85018,37454
ZCTA5 85018,"+/-1,530"
ZCTA5 85018,37454
ZCTA5 85018,(X)
ZCTA5 85019,25866
ZCTA5 85019,"+/-1,622"
ZCTA5 85019,25866
ZCTA5 85019,(X)
ZCTA5 85020,32675
ZCTA5 85020,"+/-1,456"
ZCTA5 85020,32675
ZCTA5 85020,(X)
ZCTA5 85021,37018
ZCTA5 85021,"+/-1,781"
ZCTA5 85021,37018
ZCTA5 85021,(X)
ZCTA5 85022,48071
ZCTA5 85022,"+/-1,877"
ZCTA5 85022,48071
ZCTA5 85022,(X)
ZCTA5 85023,31486
ZCTA5 85023,"+/-1,396"
ZCTA5 85023,31486
ZCTA5 85023,(X)
ZCTA5 85024,23699
ZCTA5 85024,+/-903
ZCTA5 85024,23699
ZCTA5 85024,(X)
ZCTA5 85027,36244
ZCTA5 85027,"+/-1,643"
